CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0091,0.9888478853919913
C0001,C0069,0.9843439691570108
C0001,C0184,0.9785619388073006
C0002,C0159,0.9795105096869298
C0002,C0036,0.9567623389803885
C0002,C0134,0.9079308367148381
C0003,C0007,0.9968810093511232
C0003,C0085,0.9640463999694346
C0003,C0166,0.9603809339360593
C0004,C0075,0.9832140510191636
C0004,C0090,0.9205815444205002
C0004,C0065,0.8848698960012958
C0005,C0197,0.9679556789053673
C0005,C0085,0.9638213905900722
C0005,C0166,0.9498424445847362
C0006,C0169,0.9704006342294953
C0006,C0185,0.9294489990803511
C0006,C0081,0.9274392104956387
C0007,C0003,0.9968810093511232
C0007,C0085,0.9790544159375512
C0007,C0166,0.9584810984308859
C0008,C0143,0.9757288678444452
C0008,C0158,0.953510746297948
C0008,C0170,0.9505172118501191
C0009,C0032,0.9803022627726677
C0009,C0058,0.9683007773908333
C0009,C0150,0.9614456236906473
C0010,C0029,0.9976752433133421
C0010,C0062,0.9804016075245915
C0010,C0111,0.9801805189388902
C0011,C0117,0.963973419326239
C0011,C0016,0.9632077461792568
C0011,C0074,0.9510195409647744
C0012,C0148,0.9884792503556856
C0012,C0152,0.9539841832634688
C0012,C0113,0.9513290068238263
C0013,C0046,0.9814947146937686
C0013,C0099,0.9465853217128836
C0013,C0117,0.919516728582664
C0014,C0151,0.9979207390553534
C0014,C0097,0.9927491228970107
C0014,C0060,0.9880496411636847
C0015,C0071,0.976486876158439
C0015,C0121,0.9723159872874918
C0015,C0025,0.9688259324918211
C0016,C0011,0.9632077461792568
C0016,C0117,0.9247869590037776
C0016,C0074,0.8760745705780278
C0017,C0179,0.8911139153655481
C0017,C0122,0.8887860009610975
C0017,C0064,0.8670294480943582
C0018,C0023,0.9823466564399504
C0018,C0051,0.9772356807245444
C0018,C0168,0.9765757848964493
C0019,C0035,0.9383055966012707
C0019,C0177,0.9136577573845739
C0019,C0070,0.8877945815992546
C0020,C0130,0.9794407284463068
C0020,C0094,0.955158720476758
C0020,C0032,0.9273591770429713
